x-axis,1,2
second,Volt,Volt
-5.00000E-06,-230.35001126E-03,+407.85000054E-03
-4.99000E-06,-231.60001123E-03,+407.85000054E-03
-4.98000E-06,-231.60001123E-03,+407.85000054E-03
-4.97000E-06,-231.60001123E-03,+407.85000054E-03
-4.96000E-06,-230.97501125E-03,+410.97500059E-03
-4.95000E-06,-231.60001123E-03,+407.85000054E-03
-4.94000E-06,-230.97501125E-03,+414.10000063E-03
-4.93000E-06,-230.97501125E-03,+410.97500059E-03
-4.92000E-06,-230.35001126E-03,+410.97500059E-03
-4.91000E-06,-229.10001129E-03,+414.10000063E-03
-4.90000E-06,-228.47501130E-03,+417.22500068E-03
-4.89000E-06,-229.10001129E-03,+417.22500068E-03
-4.88000E-06,-229.10001129E-03,+417.22500068E-03
-4.87000E-06,-229.10001129E-03,+423.47500077E-03
-4.86000E-06,-229.72501128E-03,+423.47500077E-03
-4.85000E-06,-229.10001129E-03,+423.47500077E-03
-4.84000E-06,-229.10001129E-03,+420.35000073E-03
-4.83000E-06,-229.72501128E-03,+420.35000073E-03
-4.82000E-06,-229.72501128E-03,+426.60000082E-03
-4.81000E-06,-230.35001126E-03,+429.72500087E-03
-4.80000E-06,-229.72501128E-03,+429.72500087E-03
-4.79000E-06,-231.60001123E-03,+429.72500087E-03
-4.78000E-06,-231.60001123E-03,+432.85000091E-03
-4.77000E-06,-230.35001126E-03,+432.85000091E-03
-4.76000E-06,-231.60001123E-03,+432.85000091E-03
-4.75000E-06,-232.22501122E-03,+432.85000091E-03
-4.74000E-06,-232.22501122E-03,+432.85000091E-03
-4.73000E-06,-233.47501119E-03,+435.97500096E-03
-4.72000E-06,-232.85001121E-03,+432.85000091E-03
-4.71000E-06,-232.85001121E-03,+439.10000101E-03
-4.70000E-06,-233.47501119E-03,+439.10000101E-03
-4.69000E-06,-233.47501119E-03,+439.10000101E-03
-4.68000E-06,-232.85001121E-03,+439.10000101E-03
-4.67000E-06,-232.22501122E-03,+445.35000110E-03
-4.66000E-06,-232.85001121E-03,+445.35000110E-03
-4.65000E-06,-231.60001123E-03,+445.35000110E-03
-4.64000E-06,-232.85001121E-03,+445.35000110E-03
-4.63000E-06,-232.85001121E-03,+448.47500115E-03
-4.62000E-06,-233.47501119E-03,+448.47500115E-03
-4.61000E-06,-232.85001121E-03,+445.35000110E-03
-4.60000E-06,-232.85001121E-03,+445.35000110E-03
-4.59000E-06,-231.60001123E-03,+448.47500115E-03
-4.58000E-06,-232.22501122E-03,+448.47500115E-03
-4.57000E-06,-232.85001121E-03,+448.47500115E-03
